Altura,Coloração Shiny,Descrição,Espécie,Imagem,Linha Evolutiva,Nome,Nome Japonês,Nº,Peso,Tipo
"1,5 m (411)",https://www.serebii.net/Shiny/SM/018.png,"É capaz de voar numa  			rapidez incrível, sendo mais veloz que a velocidade do som. Com seus  			músculos bem desenvolvidos, consegue fazer fortes furacões ao bater  			suas asas.",Pokémon Pássaro,https://pokemythology.net/conteudo/imgs/dw/018.png,Pidgey > lv.18 >  			Pidgotto > lv.36 > Pidgeot,Pidgeot,Pidgeott,0,"39,5 kg (87.1 lbs)",Normal/Voador
"0,3 m (100)",https://www.serebii.net/Shiny/SM/019.png,Morde qualquer coisa  			quando está atacando. Vive procurando objetos duros para roer.  			Consegue viver em qualquer lugar e reproduzir muito depressa.,Pokémon Rato,https://pokemythology.net/conteudo/imgs/dw/019.png,Rattata > lv.20 >  			Raticate,Rattata,Koratta,0,"3,5 kg (7.7 lbs)",Normal
"0,7 m (204)",https://www.serebii.net/Shiny/SM/020.png,"Para assustar os  			adversários, ele posiciona-se de pé e mostra as presas de sua boca.  			Suas presas são fortes, capazes até mesmo de roer uma parede de  			concreto.",Pokémon Rato,https://pokemythology.net/conteudo/imgs/dw/020.png,Rattata > lv.20 >  			Raticate,Raticate,Ratta,0,"18,5 kg (40.8 lbs)",Normal
"0,3 m (100)",https://www.serebii.net/Shiny/SM/021.png,"Ele bate suas asas  			sobre a grama para encontrar insetos. Quando encontra, puxa-os do  			chão com o seu bico. Suas asas são curtas, por isso não pode voar  			por longas distâncias.",Pokémon Mini Pássaro,https://pokemythology.net/conteudo/imgs/dw/021.png,Spearow > lv.20 >  			Fearow,Spearow,Onisuzume,0,"2,0 kg (4.4 lbs)",Normal/Voador
"1,2 m (311)",https://www.serebii.net/Shiny/SM/022.png,Fearow é famoso por  			seu pesçoco longo e bico comprido. Eles foram desenvolvidos  			especialmente para ajudá-lo a apanhar presas no solo ou na água.  			Consegue manter-se voando no céu por bastante tempo sem pousar.,Pokémon Bico,https://pokemythology.net/conteudo/imgs/dw/022.png,Spearow > lv.20 >  			Fearow,Fearow,Onidrill,0,"38,0 kg (83.8 lbs)",Normal/Voador
"2,0 m (607)",https://www.serebii.net/Shiny/SM/023.png,Rasteja  			silenciosamente pelo chão. Alimenta-se de ovos nos ninhos de  			pokémons pássaros. Ele sente o cheiro com sua língua. Suas  			mandíbulas são capazes de devorar seres bem maiores que ele.,Pokémon Serpente,https://pokemythology.net/conteudo/imgs/dw/023.png,Ekans > lv.22 >  			Arbok,Ekans,Arbo,0,"6,9 kg (15.2 lbs)",Veneno
"3,5 m (1106)",https://www.serebii.net/Shiny/SM/024.png,As marcas no pescoço  			de Arbok podem ser diferentes de região para região. Elas indicam o  			quão venenoso este pokémon é. Ele também pode sufocar suas vítimas  			enrolando-se em torno delas.,Pokémon Cobra,https://pokemythology.net/conteudo/imgs/dw/024.png,Ekans > lv.22 >  			Arbok,Arbok,Arbok,0,"65,0 kg (143.3 lbs)",Veneno
"0,4 m (104)",https://www.serebii.net/Shiny/SM/025.png,"Para ter uma melhor  			percepção de tudo o que está em sua volta, mantém o seu rabo  			levantado. Ele armazena energia elétrica dentro de suas bochechas  			vermelhas.",Pokémon Rato,https://pokemythology.net/conteudo/imgs/dw/025.png,Pichu > Felicidade >  			Pikachu > Pedra do Trovão > Raichu,Pikachu,Pikachu,0,"6,0 kg (13.2 lbs)",Elétrico
"0,8 m (207)",https://www.serebii.net/Shiny/SM/026.png,Pode tornar-se  			agressivo caso acumule muita eletricidade no corpo. Pode dar choques  			de até dez mil volts. Ele mantém o seu longo rabo no solo para  			controlar seus raios elétricos.,Pokémon Rato,https://pokemythology.net/conteudo/imgs/dw/026.png,Pichu > Felicidade >  			Pikachu > Pedra do Trovão > Raichu,Raichu,Raichu,0,"30,0 kg (66.1 lbs)",Elétrico
"0,6 m (200)",https://www.serebii.net/Shiny/SM/027.png,"Faz sua toca no  			subterrâneo, longe de água. Geralmente sai apenas para caçar. Se ele  			cair de uma grande altura, consegue se salvar enrolando o corpo e  			rolando como uma bola.",Pokémon Rato,https://pokemythology.net/conteudo/imgs/dw/027.png,Sandshrew > lv.22 >  			Sandslash,Sandshrew,Sand,0,"12,0 kg (26.5 lbs)",Terra
"1,0 m (303)",https://www.serebii.net/Shiny/SM/028.png,"É habilidoso para  			fazer arranhões com suas garras. Se elas quebrarem, irão crescer de  			novo em um dia. Suas costas possuem espinhos muito duros, usados  			como sua defesa.",Pokémon Rato,https://pokemythology.net/conteudo/imgs/dw/028.png,Sandshrew > lv.22 >  			Sandslash,Sandslash,Sandpan,0,"29,5 kg (65.0 lbs)",Terra
"0,4 m (104)",https://www.serebii.net/Shiny/SM/029.png,"As fêmeas de Nidoran  			possuem chifres menores. Embora pequena, deve se ter muito cuidado  			com os espinhos venenosos de seu corpo. Ela não gosta muito de  			lutar.",Pokémon Agulha Venenosa,https://pokemythology.net/conteudo/imgs/dw/029.png,Nidoran ♀ > lv.16 >  			Nidorina > Pedra da Lua > Nidoqueen,Nidoran ♀,Nidoran ♀,0,"7,0 kg (15.4 lbs)",Veneno
"0,8 m (207)",https://www.serebii.net/Shiny/SM/030.png,"O chifre em sua  			cabeça desenvolve-se lentamente. Ela prefere golpear com ataque  			físicos, como mordidas e arranhões. É dócil, mas não hesita em  			atacar quando perturbada.",Pokémon Agulha Venenosa,https://pokemythology.net/conteudo/imgs/dw/030.png,Nidoran ♀ > lv.16 >  			Nidorina > Pedra da Lua > Nidoqueen,Nidorina,Nidorina,0,"20,0 kg (44.1 lbs)",Veneno
"1,3 m (403)",https://www.serebii.net/Shiny/SM/031.png,Duras escamas crescem  			no corpo robusto deste pokémon. Isso lhe permite realizar movimentos  			brutais. Ela defende a sua cria com sua própria vida.,Pokémon Broca,https://pokemythology.net/conteudo/imgs/dw/031.png,Nidoran ♀ > lv.16 >  			Nidorina > Pedra da Lua > Nidoqueen,Nidoqueen,Nidoqueen,0,"60,0 kg (132.3 lbs)",Veneno/Terra
"0,5 m (108)",https://www.serebii.net/Shiny/SM/032.png,"Ele endurece suas  			orelhas para sentir o perigo. Com elas, consegue escutar o mais leve  			dos sons. Quanto maior for o seu chifre, mais venenoso ele será.",Pokémon Agulha Venenosa,https://pokemythology.net/conteudo/imgs/dw/032.png,Nidoran ♂ > lv.16 >  			Nidorino > Pedra da Lua > Nidoking,Nidoran ♂,Nidoran ♂,0,"9,0 kg (19.8 lbs)",Veneno
"0,9 m (211)",https://www.serebii.net/Shiny/SM/033.png,"Possui um chifre mais  			duro que diamante. Caso ele sinta alguma presença hostil, todas as  			farpas de suas costas irão erguer-se de uma só vez. Suas picadas  			podem ser fatais.",Pokémon Agulha Venenosa,https://pokemythology.net/conteudo/imgs/dw/033.png,Nidoran ♂ > lv.16 >  			Nidorino > Pedra da Lua > Nidoking,Nidorino,Nidorino,0,"19,5 kg (43.0 lbs)",Veneno
"1,4 m (407)",https://www.serebii.net/Shiny/SM/034.png,Utiliza-se de sua  			cauda poderosa para bater e enrolar seus oponentes. Combates corpo a  			corpo são a sua especialidade. Seu chifre é capaz de perfurar  			diamantes.,Pokémon Broca,https://pokemythology.net/conteudo/imgs/dw/034.png,Nidoran ♂ > lv.16 >  			Nidorino > Pedra da Lua > Nidoking,Nidoking,Nidoking,0,"62,0 kg (136.7 lbs)",Veneno/Terra
"0,6 m (200)",https://www.serebii.net/Shiny/SM/035.png,"A luz lunar que pode  			absorver com suas asas aparentemente lhe dá a capacidade de voar.  			Raramente é encontrado, vive em locais específicos. Costumam sair de  			seus esconderijos em noites de lua cheia para dançar.",Pokémon Fada,https://pokemythology.net/conteudo/imgs/dw/035.png,Cleffa > Felicidade >  			Clefairy > Pedra da Lua > Clefable,Clefairy,Pippi,0,"7,5 kg (16.5 lbs)",Fada
"1,3 m (403)",https://www.serebii.net/Shiny/SM/036.png,"Um pokémon muito  			tímido, foge sempre que percebe estar sendo observado. Possui uma  			audição bem aguçada. Ele dá leves saltos para se locomover,  			permitindo-o passear sobre lagos em noites de luar.",Pokémon Fada,https://pokemythology.net/conteudo/imgs/dw/036.png,Cleffa > Felicidade >  			Clefairy > Pedra da Lua > Clefable,Clefable,Pixy,0,"40,0 kg (88.2 lbs)",Fada
"0,6 m (200)",https://www.serebii.net/Shiny/SM/037.png,"Quando nasce, possui  			apenas um rabo. Ele vai se dividindo conforme for envelhecendo.  			Astuto, para fugir do perigo, finge estar debilitado e engana o  			adversário.",Pokémon Raposa,https://pokemythology.net/conteudo/imgs/dw/037.png,Vulpix > Pedra do  			Fogo > Ninetales,Vulpix,Rokon,0,"9,9 kg (21.8 lbs)",Fogo
"1,1 m (307)",https://www.serebii.net/Shiny/SM/038.png,É extremamente  			vingativo. Dizem que cairá uma maldição de mil anos sobre aquele que  			puxar uma de suas caudas por brincadeira. Acredita-se que cada uma  			de suas nove caudas possui um poder místico especial.,Pokémon Raposa,https://pokemythology.net/conteudo/imgs/dw/038.png,Vulpix > Pedra do  			Fogo > Ninetales,Ninetales,Kyukon,0,"19,9 kg (43.9 lbs)",Fogo
"0,5 m (108)",https://www.serebii.net/Shiny/SM/039.png,"Seus grandes olhos  			são usados para encatar o inimigo. Depois, canta uma bela melodia  			que coloca o adversário para dormir. Ele pode inflar o corpo como um  			balão e sair flutuando.",Pokémon Balão,https://pokemythology.net/conteudo/imgs/dw/039.png,Igglybuff >  			Felicidade > Jigglypuff > Pedra da Lua > Wigglytuff,Jigglypuff,Purin,0,"5,5 kg (12.1 lbs)",Normal/Fada
"1,0 m (303)",https://www.serebii.net/Shiny/SM/040.png,"Sua pele é macia e  			seu corpo é bastante flexível. Quando está com raiva, consegue  			inalar o ar repetidas vezes, inflando seu corpo cada vez mais.",Pokémon Balão,https://pokemythology.net/conteudo/imgs/dw/040.png,Igglybuff >  			Felicidade > Jigglypuff > Pedra da Lua > Wigglytuff,Wigglytuff,Pukurin,0,"12,0 kg (26.5 lbs)",Normal/Fada
"0,8 m (207)",https://www.serebii.net/Shiny/SM/041.png,"Sua audição é bem  			apurada. Para identificar aquilo que estiver em seu caminho, Zubat  			solta ondas ultra-sônicas. Isso lhe permite voar com segurança mesmo  			em locais escuros.",Pokémon Morcego,https://pokemythology.net/conteudo/imgs/dw/041.png,Zubat > lv. 22 >  			Golbat > Felicidade > Crobat,Zubat,Zubat,0,"7,5 kg (16.5 lbs)",Veneno/Voador
"1,6 m (503)",https://www.serebii.net/Shiny/SM/042.png,"Com os dentes  			bastante afiados, morde suas vítimas para sugar o sangue. Ele não  			irá parar de drenar a energia da vítima até estar satisfeito. Se  			chupa muito sangue, fica pesado e voa desajeitadamente.",Pokémon Morcego,https://pokemythology.net/conteudo/imgs/dw/042.png,Zubat > lv. 22 >  			Golbat > Felicidade > Crobat,Golbat,Golbat,0,"55,0 kg (121.3 lbs)",Veneno/Voador
"0,5 m (108)",https://www.serebii.net/Shiny/SM/043.png,"Durante o dia costuma  			ficar enterrado no chão, deixando apenas as suas folhas expostas.  			Ele irá berrar caso alguém tente arrancá-lo de lá. À noite sai para  			espalhar suas sementes.",Pokémon Erva Daninha,https://pokemythology.net/conteudo/imgs/dw/043.png,Oddish > lv. 21 > Gloom > > Pedra da Folha > Vileplume > Pedra do Sol > Bellossom,Oddish,Nazonokusa,0,"5,4 kg (11.9 lbs)",Planta/Veneno
"0,8 m (207)",https://www.serebii.net/Shiny/SM/044.png,O fedor proveniente  			da flor de sua cabeça pode ser sentido à distância. Ele fede mais  			ainda quando se sente ameaçado. A baba que escorre de sua boca na  			verdade é um néctar.,Pokémon Erva Daninha,https://pokemythology.net/conteudo/imgs/dw/044.png,Oddish > lv. 21 > Gloom > > Pedra da Folha > Vileplume > Pedra do Sol > Bellossom,Gloom,Kusaihana,0,"8,6 kg (19.0 lbs)",Planta/Veneno
"1,2 m (311)",https://www.serebii.net/Shiny/SM/045.png,"Quanto maiores forem  			as suas pétalas, mais tóxico será o pólen contido nelas. Elas são  			tão pesadas que é difícil de aguentar. Ao sacudir as pétalas, o ar  			ao seu redor fica amarelo.",Pokémon Flor,https://pokemythology.net/conteudo/imgs/dw/045.png,Oddish > lv. 21 > Gloom > > Pedra da Folha > Vileplume > Pedra do Sol > Bellossom,Vileplume,Rafureissa,0,"18,6 kg (41.0 lbs)",Planta/Veneno
"0,3 m (100)",https://www.serebii.net/Shiny/SM/046.png,Cogumelos parasita  			crescem nas costas de Paras. Eles absorvem nutrientes deste  			hospedeiro. São altamente valorizados como remédios para prolongar a  			vida.,Pokémon Cogumelo,https://pokemythology.net/conteudo/imgs/dw/046.png,Paras > lv. 24 >  			Parasect,Paras,Paras,0,"5,4 kg (11.9 lbs)",Inseto/Planta
"1,0 m (303)",https://www.serebii.net/Shiny/SM/047.png,"Parasect é controlado  			pelo cogumelo que cresceu em suas costas. Graças a ele, vive em  			locais úmidos e escuros. Ele solta esporos venenosos por onde passa.",Pokémon Cogumelo,https://pokemythology.net/conteudo/imgs/dw/047.png,Paras > lv. 24 >  			Parasect,Parasect,Parasect,0,"29,5 kg (65.0 lbs)",Inseto/Planta
"1,0 m (303)",https://www.serebii.net/Shiny/SM/048.png,Seus olhos grandes  			podem atuar como radares. Eles são compostos por diversos outros  			olhos menores. São ótimos para enxergar no escuro ou ver coisas  			minúsculas.,Pokémon Inseto,https://pokemythology.net/conteudo/imgs/dw/048.png,Venonat > lv. 31 >  			Venomoth,Venonat,Kongpang,0,"30,0 kg (66.1 lbs)",Inseto/Veneno
"1,5 m (411)",https://www.serebii.net/Shiny/SM/049.png,"Quando ele ataca,  			bate suas grandes asas escuras violentamente para espalhar seu pó  			venenoso por todos os lados. Se suas asas tiverem uma coloração mais  			clara, seu pó é paralisante.",Pokémon Mariposa Venenosa,https://pokemythology.net/conteudo/imgs/dw/049.png,Venonat > lv. 31 >  			Venomoth,Venomoth,Morphon,0,"12,5 kg (27.6 lbs)",Inseto/Veneno
"0,2 m (008)",https://www.serebii.net/Shiny/SM/050.png,Passa a maior parte  			do tempo enterrado no subsolo. Seu método de escavação pode deixar  			um campo perfeito para o cultivo. Ele se alimenta das raízes das  			árvores.,Pokémon Toupeira,https://pokemythology.net/conteudo/imgs/dw/050.png,Diglett > lv.26 >  			Dugtrio,Diglett,Digda,0,"0,8 kg (1.8 lbs)",Terra
"0,3 m (100)",https://www.serebii.net/Shiny/SM/019-a.png,"Ao contrário dos  			Rattatas comuns, o principal habitat do Rattata Alolano são as áreas  			urbanas. Eles são noturnos e vivem em ninhos com dezenas deles. O  			Rattata de Alola tem uma excelente aptidão para farejar deliciosos  			alimentos frescos em Alola. Eles não prestam atenção em alimentos  			que não são frescos. O Raticate Alolano serve como o seu chefe. Foi  			por conta de um grande crescimento na população de Rattatas em Alola  			que o pokémon Yungoos foi trazido para esta região. Como forma de se  			defender dos Yungoos, os Rattatas de Alola assumiram essa nova  			forma.",Pokémon Rato,https://pokemythology.net/conteudo/imgs/dw/019-alolan.png,Alolan Rattata > lv.20  			à noite > Alolan Raticate,Alolan Rattata,Alolan Koratta,0,"3,8 kg (8.4 lbs)",Noturno/Normal
"0,7 m (204)",https://www.serebii.net/Shiny/SM/020-a.png,"Como as áreas urbanas são o seu principal habitat, a sua dieta é  			mais calórica do que a dos Raticate comuns. Por conta disso, eles se  			tornaram mais robustos. Os Raticates Alolanos preferem comer apenas  			frutas frescas e ingredientes de alta qualidade. Existem rumores de  			que um certo restaurante de luxo se aproveita das papilas gustativas  			do Raticate de Alola, levando-o consigo sempre que necessitam  			comprar ingredientes, fazendo-o provar novos pratos. Os Raticates  			Alolanos armazenam constantemente enormes quantidades de comida nos  			seus ninhos. Eles preferem enviar os Rattata Alolanos em busca de  			comida, enquanto eles próprios permanecem nos seus ninhos apenas  			para comer. Cada Raticate Alolano tem o seu próprio grupo de  			Rattatas Alolanos, disputas por alimentos acontecem com frequência  			entre eles.",Pokémon Rato,https://pokemythology.net/conteudo/imgs/dw/020-alolan.png,Alolan Rattata > lv.20 à noite > Alolan Raticate,Alolan Raticate,Alolan Ratta,0,"25,5 kg (56.2 lbs)",Noturno/Normal
"0,7 m (204)",https://www.serebii.net/Shiny/SM/026-a.png,"Os Raichus de Alola  			possuem dois tipos  elétrico e psíquico  e são capazes de  			exercerem poderes psíquicos. Além disso, eles podem reunir seus  			poderes psíquicos em suas caudas e ficar sobre elas flutuando no ar!  			Pesquisadores acreditam que foi sua alimentação que ocasionou sua  			mudança de forma na região de Alola. O Raichu possui bolsas  			elétricas nas bochechas e, ao esfregá-las, libera um aroma doce. Não  			se sabe como funciona o mecanismo que causa esta liberação, mas  			acredita-se que possua alguma relação com os poderes psíquicos do  			Raichu Alolano.",Pokémon Rato,https://pokemythology.net/conteudo/imgs/dw/026-alolan.png,Pichu > Felicidade >  			Pikachu > Pedra do Trovão em Alola > Alolan Raichu,Alolan Raichu,Alolan Raichu,0,"21,0 kg (46.3 lbs)",Elétrico/Psíquico
"0,7 m (204)",https://www.serebii.net/Shiny/SM/027-a.png,"Historicamente, os Sandshrew viviam em áreas de deserto. Mas as  			frequentes erupções vulcânicas nas proximidades levaram os Sandshrew  			a sair do deserto e a migrar para as montanhas nevadas, onde  			assumiram esta forma. O corpo de Sandshrew mudou para se adaptar ao  			ambiente hostil das montanhas nevadas. A pele do Shandshrew Alolanos  			está coberta por uma carapaça de gelo, dura como aço. Defensivamente  			é excelente, mas falta-lhe flexibilidade e não pode enrolar o corpo  			como uma bola, como um Sandshrew tipo terra pode fazer. O seu grande  			peso torna o Sandshrew de Alola mais lento que um Sandshrew normal,  			mas as garras dos seus pés e mãos permitem-lhe deslocar-se no gelo  			sem escorregar. Quando quer deslocar-se rapidamente, utiliza o  			estômago para deslizar sobre o gelo como uma pedra ondulando.",Pokémon Rato,https://pokemythology.net/conteudo/imgs/dw/027-alolan.png,Alolan Sandshrew > Pedra do Gelo > Alolan Sandslash,Alolan Sandshrew,Alolan Sand,0,"40,0 kg (88.2 lbs)",Gelo/Metálico
"1,2 m (311)",https://www.serebii.net/Shiny/SM/028-a.png,"Os Sandshrew Alolanos  			das montanhas nevadas evoluem para os Sandslash Alolanos, com costas  			espinhosas e cobertas de gelo. Graças ao seu revestimento de gelo,  			estes espinhos são grandes e afiados. Muitas vezes esses espinhos se  			quebram, mas voltam a crescer no dia seguinte. Os Sandslash Alolanos  			escondem-se na neve quando surgem inimigos poderosos, deixando  			apenas os seus espinhos expostos e prontos para entrar em ação. Eles  			podem escalar árvore e enrolar o corpo numa bola espinhosa, pronta  			para cair em qualquer presa que aparecer. O peso do gelo que cobre o  			seu corpo tornam os Sandslash de Alola mais pesados e lentos que os  			Sandslash normais. No entanto, em campos de neve e no gelo, eles se  			movem abrindo caminho com as suas garras, o que permite que se movam  			com rapidez. As nuvens de neve criadas pelos movimentos do Sandslash  			de Alola são tão belas que muitos fotógrafos vão até os picos  			nevados para fotografar o momento. Entretanto, esses Sandslash vivem  			nas profundezas das montanhas e há o grande perigo de alguém se  			perder, por isso é proibido escalar as montanhas sem autorização.",Pokémon Rato,https://pokemythology.net/conteudo/imgs/dw/028-alolan.png,Alolan Sandshrew >  			Pedra do Gelo > Alolan Sandslash,Alolan Sandslash,Alolan Sandpan,0,"55,0 kg (121.3 lbs)",Gelo/Metálico
"0,6 m (200)",https://www.serebii.net/Shiny/SM/037-a.png,"Diz-se que o Vulpix veio para a região de Alola juntamente com os  			humanos, mas eles foram para as montanhas de picos nevados, de modo  			a evitar os habitats normais dos outros pokémons, acabando por  			assumir esta forma. Esses Vulpix Alolanos vivem nas altas montanhas  			que permanecem cobertas de neve durante todo o ano. Eles vivem em  			pequenos bandos formados de 2 a 5 membros, ajudando-se uns aos  			outros a sobreviver. Os Vulpix de Alola podem congelar qualquer  			coisa sólida, expelindo de sua boca um ar de uma temperatura de  			-50°C. Eles não se adaptam bem ao calor, mas quando a temperatura  			sobe muito, podem produzir gelo a partir da sua cauda, para baixar a  			temperatura ao redor. As pessoas mais velhas de Alola chamam este  			pokémon pelo seu antigo nome: Keokeo.",Pokémon Raposa,https://pokemythology.net/conteudo/imgs/dw/037-alolan.png,Alolan Vulpix > Pedra do  			Gelo > Alolan Ninetales,Alolan Vulpix,Alolan Rokon,0,"9,9 kg (21.8 lbs)",Gelo
