Nº:,Coloração Shiny,Nome:,Nome Japonês:,Espécie:,Peso:,Altura:,Tipo:,Linha Evolutiva:,Descrição:,image
 027,/conteudo/imgs/dw/027-alolan.png, Alolan Sandshrew, Alolan Sand, Pokémon Rato,"40,0 kg (88.2 lbs)"," 0,7 m (204)", Gelo/Metálico, Alolan Sandshrew > Pedra do Gelo > Alolan Sandslash," Historicamente, os Sandshrew viviam em áreas de deserto. Mas as frequentes erupções vulcânicas nas proximidades levaram os Sandshrew a sair do deserto e a migrar para as montanhas nevadas, onde assumiram esta forma. O corpo de Sandshrew mudou para se adaptar ao ambiente hostil das montanhas nevadas. A pele do Shandshrew Alolanos está coberta por uma carapaça de gelo, dura como aço. Defensivamente é excelente, mas falta-lhe flexibilidade e não pode enrolar o corpo como uma bola, como um Sandshrew tipo terra pode fazer. O seu grande peso torna o Sandshrew de Alola mais lento que um Sandshrew normal, mas as garras dos seus pés e mãos permitem-lhe deslocar-se no gelo sem escorregar. Quando quer deslocar-se rapidamente, utiliza o estômago para deslizar sobre o gelo como uma pedra ondulando.",/conteudo/imgs/dw/027-alolan.png
 037,/conteudo/imgs/dw/037-alolan.png, Alolan Vulpix, Alolan Rokon, Pokémon Raposa,"9,9 kg (21.8 lbs)"," 0,6 m (200)", Gelo, Alolan Vulpix > Pedra do Gelo > Alolan Ninetales," Diz-se que o Vulpix veio para a região de Alola juntamente com os humanos, mas eles foram para as montanhas de picos nevados, de modo a evitar os habitats normais dos outros pokémons, acabando por assumir esta forma. Esses Vulpix Alolanos vivem nas altas montanhas que permanecem cobertas de neve durante todo o ano. Eles vivem em pequenos bandos formados de 2 a 5 membros, ajudando-se uns aos outros a sobreviver. Os Vulpix de Alola podem congelar qualquer coisa sólida, expelindo de sua boca um ar de uma temperatura de -50°C. Eles não se adaptam bem ao calor, mas quando a temperatura sobe muito, podem produzir gelo a partir da sua cauda, para baixar a temperatura ao redor. As pessoas mais velhas de Alola chamam este pokémon pelo seu antigo nome: Keokeo.",/conteudo/imgs/dw/037-alolan.png
 594,https://www.serebii.net/Shiny/SM/594.png, Alomomola, Mamanbou, Pokémon Cuidador," 31,6 kg (69.7 lbs)"," 1,2 m (311)", Água, Não Evolui," Flutuando no mar aberto é a forma como vivem. Quando eles encontram um Pokémon ferido, abraçam-no e trazem-no para a praia.",/conteudo/imgs/dw/594.png
 591,/conteudo/imgs/dw/591.png, Amoonguss, Morobareru, Pokémon Cogumelo," 10,5 kg (23.1 lbs)"," 0,6 m (200)", Planta/Veneno, Foongus > lv. 39 > Amoonguss," Ele atrai presas dançando e acenando com seus braços que se assemelham pokébolas, em um movimento ofensivo.",/conteudo/imgs/dw/591.png
181,https://www.serebii.net/Shiny/SM/181.png, Ampharos,Denryu,Pokémon Luz,"61,5 kg (135.6 lbs)","1,4 m (407)",Elétrico,Mareep > lv. 15 > Flaaffy > lv. 30 > Ampharos,"A luz na ponta de sua cauda pode ser vista de longe. Ele tem sido usado por muitos como um farol. Antigamente, as pessoas mandavam sinais com aluz de sua cauda.",/conteudo/imgs/dw/181.png
 567,/conteudo/imgs/dw/567.png, Archeops, Archeos, Pokémon Primeiro Pássaro, 32 kg (70.5 lbs)," 1,4 m (4'08"")", Pedra/Voador, Archen > lv. 37 > Archeops, São inteligentes e cooperam entre si para capturar suas presas. Eles precisam correr um pouco antes de levantar voo.,/conteudo/imgs/dw/567.png
168,/conteudo/imgs/dw/168.png, Ariados, Ariados,Pokémon Perna Longa,"33,5 kg (73,9 lbs)","1,1 m (307)",Inseto/Veneno,Spinarak > lv. 22 > Ariados,Uma única teia sai de sua retaguarda capaz se aguentá-lo pendurado em um galho. A teia pode trazê-lo rapidamente de volta a seu ninho.,/conteudo/imgs/dw/168.png
 683,/conteudo/imgs/dw/683.png, Aromatisse, Furefuwan, Pokémon Fragrância,"15,5 kg (34.2 lbs)"," 0,8 m (207)", Fada, Spritzee > Troca com Sachet > Aromatisse," Seu perfume é tão avassalador que um treinador terá dificuldade de andar ao lado dele se não gostar do cheiro. Pode soltar vários aromas, agradáveis ou desagradáveis, e usar isso para obter vantagem numa batalha.",/conteudo/imgs/dw/683.png
 658,https://www.serebii.net/Shiny/SM/658-a.png, Ash-Greninja, Satoshi Gekkouga, Pokémon Ninja," 40,0 kg (88.2 lbs)"," 1,5 m (411)", Água/Noturno,Frokie > lv.16 > Frogadier > lv.36 > Greninja," Quando o vínculo de Greninja e seu treinador se torna bastante forte, Greninja pode se transformar na forma do Ash-Greninja. Nesta forma, suas pernas são mais fortes e pode atacar com uma enorme shuriken de água.",/conteudo/imgs/dw/658-ash.png
 531,/conteudo/imgs/dw/531.png, Audino, Tabunne, Pokémon Auditivo, 31 kg (68.3 lbs)," 1,1 m (307)", Normal, Não evolui, Toca os outros com os sensores que saem de suas orelhas e usa o som das batidas de seu coração para lhes dizer como se sentem.,/conteudo/imgs/dw/531.png
 699,/conteudo/imgs/dw/699.png, Aurorus, Amaruruga, Pokémon Tundra,"225,0 kg (496.0 lbs)"," 2,7 m (810)", Pedra/Gelo, Amaura > lv.39 à noite > Aurorus," Usando seus cristais em forma de diamante, pode criar instantaneamente uma parede de gelo para bloquear um ataque do adversário. Esses cristais soltam um ar frio de -115ºC em seus inimigos e os aprisiona no gelo.",/conteudo/imgs/dw/699.png
 713,/conteudo/imgs/dw/713.png, Avalugg, Kurebesu, Pokémon Icebergue,"505,0 kg (1113.3 lbs)"," 2,0 m (607)", Gelo, Bergmite > lv.37 > Avalugg, Seu corpo de gelo é duro como aço. A estrutura pesada de seu corpo esmaga qualquer coisa que estiver no caminho. A forma como vários Bergmite se reúnem em suas costas faz com que pareça um porta-aviões de gelo.,/conteudo/imgs/dw/713.png
 610,https://www.serebii.net/Shiny/SM/610.png, Axew, Kibago, Pokémon Presa, 18 kg (39.7 lbs)," 0,6 m (200)", Dragão, Axew > lv. 38 > Fraxure > lv. 48 > Haxorus," Se uma presa sua se quebra, uma nova cresce em pouco tempo. A regeneração repetitiva torna suas presas fortes e afiadas.",/conteudo/imgs/dw/610.png
 689,/conteudo/imgs/dw/689.png, Barbaracle, Kamenodesu, Pokémon Coletivo,"96,0 kg (211.6 lbs)"," 1,3 m (403)", Pedra/Água, Binacle > lv.39 > Barbaracle," Quando eles evoluem, dois Binacle se multiplicam em sete. Suas pernas e mãos possuem vontade própria e se movem de forma independente, mas costumam seguir as ordens do chefe.",/conteudo/imgs/dw/689.png
 550,/conteudo/imgs/dw/550-blue.png, Basculin (Listra Azul), Basurao, Pokémon Hostil, 18 kg (39.7 lbs), 1 m (303), Água , Não Evolui,"Os Basculin de listra azul só andam em cardumes de Basculin com a mesma cor de listra, nunca permitindo os de listra vermelha estarem entre eles.",/conteudo/imgs/dw/550-blue.png
 411,/conteudo/imgs/dw/411.png, Bastiodon, Toridepusu, Pokémon Escudo," 149,5 kg (329.6 lbs)"," 1,3 m (403)", Pedra/Metálico, Shieldon > lv. 30 > Bastiodon," Quando atacados, eles formam uma parede com seus rostos em formas de escudo para proteger seus filhotes. Quando eles se alinham lado a lado, nenhum inimigo pode romper sua barreira. Esse pokémon repele qualquer ataque frontal. É um pokémon dócil que se alimenta de capim e frutas.",/conteudo/imgs/dw/411.png
153,https://www.serebii.net/Shiny/SM/153.png, Bayleef, Bayleef,Pokémon Folha,"15,8 kg (34.8 lbs)","1,2 m (311)",Planta, Chikorita > lv. 16 > Bayleef > lv. 32 > Meganium,As folhas de seu pescoço emanam um aroma picante que serve como um estimulante para restauração de energia. Treinadores que aspiram esse cheiro têm vontade de batalhar.,/conteudo/imgs/dw/153.png
 614,https://www.serebii.net/Shiny/SM/614.png, Beartic, Tsunbeaa, Pokémon Congelamento, 260 kg (573.2 lbs)," 2,6 m (806)", Gelo, Cubchoo > lv. 37 > Beartic," Pode fazer sua respiração congelar à vontade. Muito hábil na água, nada nos mares do norte e captura as suas presas.",/conteudo/imgs/dw/614.png
 606,https://www.serebii.net/Shiny/SM/606.png, Beheeyem, Oobemu, Pokémon Cerebral," 34,5 kg (76.1 lbs)", 1 m (303), Psíquico, Elgyem > lv. 42 > Beheeyem," Usando seus poderes psíquicos, ele pode projetar imagens na mente de seus adversários e manipular sua memória. Ele se comunica fazendo piscar as luzes de seus dedos.",/conteudo/imgs/dw/606.png
 400,https://www.serebii.net/Shiny/SM/400.png, Bibarel, Biidaru, Pokémon Castor," 31,5 kg (69.4 lbs)"," 1,0 m (303)", Normal, Bidoof > lv. 15 > Bibarel, É um pokémon muito apreciado pelas pessoas e muito procurado pelos construtores. Um rio represado pelo Bibarel nunca vai transbordar.,/conteudo/imgs/dw/400.png
 399,/conteudo/imgs/dw/399.png, Bidoof, Bippa, Pokémon Rato Gordo," 20,0 kg (44.1 lbs)"," 0,5 m (108)", Normal, Bidoof > lv. 15 > Bibarel," Ele vive em grupos e constrói seu ninho próximo a água. Seus dentes crescem no mesmo ritmo dos dentes de um Rattata, o que explica a maneira que mastiga árvores e rochas próximas a seu ninho.",/conteudo/imgs/dw/399.png
 625,/conteudo/imgs/dw/625.png, Bisharp, Kirikizan, Pokémon Lâmina de Espada, 70 kg (154.3 lbs)," 1,6 m (503)", Noturno/Metálico, Pawniard > lv. 52 > Bisharp, Bisharp persegue suas presas na companhia de um grande grupo de Pawniards. Suas vitórias em batalhas indicam liderança sobre os grupos.,/conteudo/imgs/dw/625.png
 525,/conteudo/imgs/dw/525.png, Boldore, Gantle, Pokémon Minério, 102 kg (224.9 lbs)," 0,9 m (211)",Pedra, Roggenrola > lv. 25 > Boldore > Troca > Gigalith," A energia extra da evolução formou cristais laranjas. Quando se sobrecarrega de energia, esses cristais laranjas em seu corpo brilham.",/conteudo/imgs/dw/525.png
 438,/conteudo/imgs/dw/438.png, Bonsly, Usohachii, Pokémon Bonsai," 15,0 kg (33.1 lbs)"," 0,5 m (108)", Pedra,Bonsly > aprender Mimic e subir lv. > Sudowoodo," Parecem estar constantemente chorando, mas, na verdade, isso não passa de um vazamento de água que ajusta os níveis de fluido em seu corpo, eliminando o excesso. Prefere ambientes áridos.",/conteudo/imgs/dw/438.png
 761,/conteudo/imgs/dw/761.png, Bounsweet, Amakaji, Pokémon Fruta,"3,2 kg (7.1 lbs)"," 0,3 m (100)", Planta, Bounsweet > lv. 18 > Steenee > lv.29 e aprender Stomp > Tsareena," Um aroma delicioso envolve o seu corpo. Muitas vezes são inteiramente engolidas por Toucannons atraídos por esse cheiro. Embora seja muito açucarado para o consumo humano, o suor de Bounsweet pode ser diluído em um suco com a quantidade certa de doçura.",/conteudo/imgs/dw/761.png
 654,/conteudo/imgs/dw/654.png, Braixen, Teerunaa, Pokémon Raposa," 14,5 kg (32.0 lbs)", 1 m (303), Fogo,Fennekin > lv.16 > Braixen > lv.36 > Delphox," Eles mantêm um graveto preso na cauda. Ao retirá-lo, é capaz de acendê-lo em chamas com o atrito. O fogo é usado para enviar sinais a seus aliados.",/conteudo/imgs/dw/654.png
 628,https://www.serebii.net/Shiny/SM/628.png, Braviary, Wargle, Pokémon Valente, 41 kg (90.4 lbs)," 1,5 m (411)", Normal/Voador, Rufflet > lv.54 > Braviary," Quanto mais cicatrizes eles tem, mais respeito de seus companheiros eles adquirem. Eles podem carregar carros enquanto voam.",/conteudo/imgs/dw/628.png
 729,/conteudo/imgs/dw/729.png, Brionne, Osyamari, Pokémon Estrela do Pop,"17,5 kg (38.6 lbs)"," 0,6 m (200)", Água, Popplio > lv.17 > Brionne > lv.34 > Primarina," Um hábil dançarino, cria uma seqüência de balões de água enquanto dança e rapidamente bombardeia seus inimigos. Ele se importa profundamente com seus companheiros. Quando seu treinador está se sentindo para baixo, ele realiza uma dança alegre para tentar ajudar.",/conteudo/imgs/dw/729.png
 437,https://www.serebii.net/Shiny/SM/437.png, Bronzong, Dootakun, Pokémon Sino de Bronze," 187,0 kg (412.3 lbs)"," 1,3 m (403)", Metálico/Psíquico, Bronzor > lv. 33 > Bronzong, Pode invocar nuvens carregadas de chuvas e tempestades. Por essa razão as pessoas o tratam como uma divindade das colheitas que pode tanto fazer uma colheita ser prospera quanto desastrosa.,/conteudo/imgs/dw/437.png
 436,/conteudo/imgs/dw/436.png, Bronzor, Doomiraa, Pokémon Bronze," 60,5 kg (133.4 lbs)"," 0,5 m (108)", Metálico/Psíquico, Bronzor > lv. 33 > Bronzong, Fotos de raios-X foram tiradas para verificar a sua estrutura corporal. Nada apareceu nelas. Os povos antigos acreditavam que as marcas nas costas de Bronzor continham um poder misterioso.,/conteudo/imgs/dw/436.png
 406,https://www.serebii.net/Shiny/SM/406.png, Budew, Subomi, Pokémon Broto," 1,2 kg (2.6 lbs)"," 0,2 m (008)", Planta/Veneno,Budew > Felicidade de Dia > Roselia > Pedra do Brilho > Roserade," Sensível às mudanças de temperatura, dizem que seu broto floresce com o toque da luz do sol. No inverno, ele fecha seu broto para diminuir o frio. Na primavera, o seu broto se abre e libera pólen.",/conteudo/imgs/dw/406.png
 418,https://www.serebii.net/Shiny/SM/418.png, Buizel, Buoysel, Pokémon Fuinha do Mar," 29,5 kg (65.0 lbs)"," 0,7 m (204)", Água, Buizel > lv. 26 > Floatzel," Tem um saco de flutuação que é como um colar inflável. Ele flutua na água com a cabeça para fora a fim de assistir o movimento de sua presa.  Ele nada girando suas duas caudas como um parafuso para impulsionar-se através da água. Quando ele mergulha, seu saco de flutuação esvazia.",/conteudo/imgs/dw/418.png
 427,https://www.serebii.net/Shiny/SM/427.png, Buneary, Mimiroru, Pokémon Coelho," 5,5 kg (12.1 lbs)"," 0,4 m (104)", Normal, Buneary > Felicidade > Lopunny, Suas orelhas estão sempre fechadas. Elas podem ser vigorosamente estendidas para quebrar até mesmo pedras. Ele também usa suas orelhas para bater nos inimigos forte o suficiente para fazê-los gritar de dor.,/conteudo/imgs/dw/427.png
 659,/conteudo/imgs/dw/659.png, Bunnelby, Horubii, Pokémon Escavação," 5,0 kg (11.0 lbs)"," 0,4 m (104)", Normal,Bunnelby > lv.20 > Diggersby, Usa suas grandes orelhas como pás para cavar tocas. Cavar buracos fortalece suas orelhas tanto que pode cortar raízes grossas sem esforço.,/conteudo/imgs/dw/659.png
 412,/conteudo/imgs/dw/412-sandy.png, Burmy (Manto de Areia), Minomucchi, Pokémon Bicho-do-Cesto," 3,4 kg (7.5 lbs)"," 0,2 m (008)", Inseto,Burmy > lv. 20 >> ♀ > Wormadam> ♂ > Mothim," Esse pokémon se cobre com tudo o que tiver próximo para se abrigar do frio, quando está quente o manto é mais fino. Quando está em uma caverna, ele se cobre com muitas rochas e impurezas que acha no solo. Quando está no deserto, ele se cobre com um pouco de areia devido ao clima quente.",/conteudo/imgs/dw/412-sandy.png
 412,https://www.serebii.net/Shiny/SM/412.png, Burmy (Manto de Folhas), Minomucchi, Pokémon Bicho-do-Cesto," 3,4 kg (7.5 lbs)"," 0,2 m (008)", Inseto,Burmy > lv. 20 >> ♀ > Wormadam> ♂ > Mothim," Se o seu manto é quebrado em batalha, ele rapidamente refaz o manto com materiais próximos a ele. Para se proteger dos ventos gelados do inverno, o Burmy que mora nas florestas e nas rotas se cobre com um manto feito de galhos e folhas.",/conteudo/imgs/dw/412.png
 412,https://www.serebii.net/Shiny/SM/412-s.png, Burmy (Manto de Lixo), Minomucchi, Pokémon Bicho-do-Cesto," 3,4 kg (7.5 lbs)"," 0,2 m (008)", Inseto,Burmy > lv. 20 >> ♀ > Wormadam> ♂ > Mothim," Mesmo que nasce onde não há materiais propícios para construir seu ""casulo"", ele sempre arranja um jeito de terminar com um manto. Quando está dentro de uma construção, ele se vira e seu manto acaba sendo feito de um lixo resistente.",/conteudo/imgs/dw/412-trash.png
 794,/conteudo/imgs/dw/794.png, Buzzwole, Masshibun, Pokémon Inchado,"333,6 kg (735.5 lbs)"," 2,4 m (710)", Inseto/Lutador, Ultra Fera, Ele gosta de exibir o seu corpo. Ainda é um mistério se ele faz essa exibição para fazer ameaças ou apenas para se vangloriar. Testemunhas o viram pulverizar um caminhão de lixo com um único soco.,/conteudo/imgs/dw/794.png
 703,/conteudo/imgs/dw/703.png, Carbink, Merushi, Pokémon Joia,"5,7 kg (12.6 lbs)"," 0,3 m (100)", Pedra/Fada, Não Evolui," Ele dormiu no subsolo para centenas de milhões de anos, desde o seu nascimento. Ele dispara raios da pedra em sua cabeça. São ocasionalmente encontrados durante escavações em cavernas.",/conteudo/imgs/dw/703.png
 455,https://www.serebii.net/Shiny/SM/455.png, Carnivine, Masukippa, Pokémon Planta Carnívora," 27,0 kg (59.5 lbs)"," 1,4 m (407)", Planta, Não Evolui, Ele anda por aí sobre seus tentáculos em busca de um galho de árvore onde ele pode oscilar para baixo e emboscar surpresa. Ele aguarda a presa com a boca totalmente aberta.,/conteudo/imgs/dw/455.png
 565,/conteudo/imgs/dw/565.png, Carracosta, Abagoura, Pokémon Proto Tartaruga, 82 kg (180.8 lbs)," 1,2 m (3'11"")", Água/Pedra, Tirtouga > lv. 37 > Carracosta, São anfíbios: podem viver tanto no oceano quanto em terra firme. Um tapa de um Carracosta é o suficiente para abrir um buraco no fundo de um petroleiro.,/conteudo/imgs/dw/565.png
 609,/conteudo/imgs/dw/609.png, Chandelure, Shandera, Pokémon Atraente," 34,3 kg (75.6 lbs)", 1 m (303), Fantasma/Fogo, Litwick > lv. 41 > Lampent > Pedra do Anoitecer > Chandelure,"Ele pode absorver um espírito e depois o queimá-lo, deixando o corpo para trás. Através de ondas de chamas provenientes de seus braços, é capaz de por os inimigos em um transe hipnótico.",/conteudo/imgs/dw/609.png
 737,/conteudo/imgs/dw/737.png, Charjabug, Dendjimushi, Pokémon Bateria,"10,5 kg (23.1 lbs)"," 0,5 m (108)", Inseto/Elétrico, Grubbin > lv. 20 > Charjabug > Subir lv. perto de rochas magnéticas > Vikavolt," Seu corpo é capaz de armazenar eletricidade. Em viagens de acampamento, as pessoas são gratas por ter um ao redor. A partir dos alimentos que digere, ele gera eletricidade e armazena essa energia em seu saco elétrico.",/conteudo/imgs/dw/737.png
 441,https://www.serebii.net/Shiny/SM/441.png, Chatot, Perap, Pokémon Nota Musical," 1,9 kg (4.2 lbs)"," 0,5 m (108)", Normal/Voador, Não Evolui," Ele pode aprender a falar palavras humanas. Se eles se reúnem, todos eles aprendem as palavras uns dos outros. Ele imita a fala de outros pokémons para induzi-los a pensar que é um deles. Dessa forma, eles não vão atacá-lo.",/conteudo/imgs/dw/441.png
 420,https://www.serebii.net/Shiny/SM/420.png, Cherubi, Cherinbo, Pokémon Cereja," 3,3 kg (7.3 lbs)"," 0,4 m (104)", Planta, Cherubi > lv. 25 > Cherrim," Possui uma pequena bola parecida com uma cabeça. Essa bola mantém os nutrientes necessários para sua evolução. Aparentemente, também é muito doce e saborosa. Ele evolui drenando a energia para fora dela, onde estavam armazenados os nutrientes. Quando acaba a drenagem, ele encolhe para anunciar a evolução.",/conteudo/imgs/dw/420.png
 652,/conteudo/imgs/dw/652.png, Chesnaught, Burigaron, Pokémon Armadura Espinhosa," 90,0 kg (198.4 lbs)"," 1,6 m (503)", Planta/Lutador,Chespin > lv.16 > Quilladin > lv.36 > Chesnaught," Sua investida é forte o suficiente para capotar um tanque de 50 toneladas. Protege seus amigos do perigo usando seu próprio corpo. Quando adota uma postura defensiva cobrindo o rosto com as mãos, pode resistir a explosão de uma bomba.",/conteudo/imgs/dw/652.png
 650,/conteudo/imgs/dw/650.png, Chespin, Harimaron, Pokémon Noz Espinhosa," 9,0 kg (19.8 lbs)"," 0,4 m (104)", Planta,Chespin > lv.16 > Quilladin > lv.36 > Chesnaught," Os espinhos de sua cabeça geralmente são moles. Quando ele os flexiona, as pontas ficam tão duras e agudas que são capazes de perfurar pedras. Sua casca grossa de madeira suporta até uma batida de caminhão.",/conteudo/imgs/dw/650.png
